run_id,epoch,seconds,z
run1,1,24,1.16812402016134
run1,2,20,-0.21019340775764503
run1,3,20,-0.21019340775764503
run1,4,20,-0.21019340775764503
run1,5,20,-0.21019340775764503
run1,6,19,-0.5547727647373912
run1,7,21,0.13438594922210123
run1,8,20,-0.21019340775764503
run1,9,21,0.13438594922210123
run1,10,22,0.4789653062018475
run2,1,26,1.8572827341208324
run2,2,23,0.8235446631815938
run2,3,21,0.13438594922210123
run2,4,28,2.546441448080325
run2,5,32,3.92475887599931
run2,6,29,2.891020805060071
run2,7,24,1.16812402016134
run2,8,23,0.8235446631815938
run2,9,28,2.546441448080325
run2,10,27,2.201862091100579
run3,1,22,0.4789653062018475
run3,2,24,1.16812402016134
run3,3,24,1.16812402016134
run3,4,22,0.4789653062018475
run3,5,22,0.4789653062018475
run3,6,23,0.8235446631815938
run3,7,21,0.13438594922210123
run3,8,20,-0.21019340775764503
run3,9,22,0.4789653062018475
run3,10,20,-0.21019340775764503
run4,1,23,0.8235446631815938
run4,2,29,2.891020805060071
run4,3,22,0.4789653062018475
run4,4,20,-0.21019340775764503
run4,5,22,0.4789653062018475
run4,6,23,0.8235446631815938
run4,7,21,0.13438594922210123
run4,8,22,0.4789653062018475
run4,9,21,0.13438594922210123
run4,10,21,0.13438594922210123
run5,1,21,0.13438594922210123
run5,2,18,-0.8993521217171375
run5,3,18,-0.8993521217171375
run5,4,18,-0.8993521217171375
run5,5,18,-0.8993521217171375
run5,6,19,-0.5547727647373912
run5,7,20,-0.21019340775764503
run5,8,21,0.13438594922210123
run5,9,20,-0.21019340775764503
run5,10,20,-0.21019340775764503
run6,1,20,-0.21019340775764503
run6,2,20,-0.21019340775764503
run6,3,22,0.4789653062018475
run6,4,21,0.13438594922210123
run6,5,23,0.8235446631815938
run6,6,22,0.4789653062018475
run6,7,23,0.8235446631815938
run6,8,21,0.13438594922210123
run6,9,23,0.8235446631815938
run6,10,21,0.13438594922210123
run7,1,22,0.4789653062018475
run7,2,18,-0.8993521217171375
run7,3,20,-0.21019340775764503
run7,4,20,-0.21019340775764503
run7,5,18,-0.8993521217171375
run7,6,18,-0.8993521217171375
run7,7,18,-0.8993521217171375
run7,8,18,-0.8993521217171375
run7,9,18,-0.8993521217171375
run7,10,18,-0.8993521217171375
run8,1,20,-0.21019340775764503
run8,2,19,-0.5547727647373912
run8,3,18,-0.8993521217171375
run8,4,17,-1.2439314786968838
run8,5,17,-1.2439314786968838
run8,6,18,-0.8993521217171375
run8,7,19,-0.5547727647373912
run8,8,23,0.8235446631815938
run8,9,18,-0.8993521217171375
run8,10,18,-0.8993521217171375
run9,1,19,-0.5547727647373912
run9,2,18,-0.8993521217171375
run9,3,18,-0.8993521217171375
run9,4,18,-0.8993521217171375
run9,5,18,-0.8993521217171375
run9,6,20,-0.21019340775764503
run9,7,18,-0.8993521217171375
run9,8,18,-0.8993521217171375
run9,9,18,-0.8993521217171375
run9,10,18,-0.8993521217171375
run10,1,20,-0.21019340775764503
run10,2,18,-0.8993521217171375
run10,3,18,-0.8993521217171375
run10,4,18,-0.8993521217171375
run10,5,18,-0.8993521217171375
run10,6,18,-0.8993521217171375
run10,7,18,-0.8993521217171375
run10,8,18,-0.8993521217171375
run10,9,18,-0.8993521217171375
run10,10,18,-0.8993521217171375
